#,Proveedor,Servicio_o_plan,USD_mes,MXN_mes_x18,Descuento_anual,Comentario
1,Cloudflare,Pages (hobby),0,0,No aplica,Front web estatico
2,Vercel,Hobby (front),0,0,No aplica,Alternativa al front
3,Render,Web Service API 512MB-1GB,7,126,Revisar pricing,Node y Socket.io
4,Render,PostgreSQL instancia basica,7,126,Suscripcion mensual,Misma factura que API
5,Railway,Uso API tipico bajo,3-8,54-144,Promos y creditos,Muy variable - activar tope
6,Neon,Free tier,0,0,N/A,Limites storage y CPU
7,Neon,Plan pago minimo,15-19,270-342,Revisar en Neon,Postgres serverless
8,Supabase,Free 0 o Pro 25,0 o 25,0 o 450,Pro a veces anual,DB extra si lo usas
9,SendGrid,Free,0,0,Planes pago con porcentual,SMTP transaccional
10,Resend,Free 0 o Essentials 20,0 o 20,0 o 360,Revisar,Alternativa
11,Namecheap_Dominio,.com promedio entre 12,0.8-1.2,15-22,Multianual,Cobro 1x al ano
12,Mapbox,Free y uso,0-20,0-360,Mensual o por uso,Map loads
13,Hetzner_VPS,1vCPU aprox,4-6,72-108,Prepago anual a veces,Admin manual
